candidate_id,drawer_aperture,family_id,init_state_id,layout,possession,support_pair_id,support_stratum,transit_locus,source_id,source_run_id,source_construction_revision,root_final_timestep,source_record_sha256,state_sha256,schema_migration,root_validation_pass,certificate_pass,joint_support_distance,exact_event_reference_count,drawer_execution_mode,drawer_feasibility_kind,drawer_success_count,drawer_proposal_count,drawer_success_fraction,drawer_selected_proposal_index,drawer_selected_episode_index,drawer_selected_budgeted_steps,drawer_selected_executed_steps,drawer_selected_eef_path_m,cabinet_execution_mode,cabinet_feasibility_kind,cabinet_success_count,cabinet_proposal_count,cabinet_success_fraction,cabinet_selected_proposal_index,cabinet_selected_episode_index,cabinet_selected_budgeted_steps,cabinet_selected_executed_steps,cabinet_selected_eef_path_m
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-a,closed,drawer-closed__possession-grasped__locus-cabinet-side,0,A,grasped,drawer-closed__possession-grasped__locus-cabinet-side__layout-a,demonstration_near,cabinet_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,8c564806fe8b3a3cf386c9a7d1ff5167cba204382a728e18641f2b83e6cc25ff,c5b665ed40254be3f5605b2944d88e3555a126a1afafdc864116b6b3cbaf133a,additive_full_replay_provenance_v1,True,True,0.6839906849863865,0,full_trajectory_replay,successful_proposal_ledger_v1,11,36,0.3055555555555556,1,694,1143,1133,2.4408868971389435,full_trajectory_replay,successful_proposal_ledger_v1,16,46,0.34782608695652173,0.0,438.0,1056.0,1042.0,1.8248182524567482
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-b,closed,drawer-closed__possession-grasped__locus-cabinet-side,1,B,grasped,drawer-closed__possession-grasped__locus-cabinet-side__layout-b,demonstration_near,cabinet_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,bb1ac1cfb0b0ee2742241afccc0eba8464808ed1711abbc7c5f77512b80301fe,711cf24d99b20595790aa1dc25bfe972af4a5e4a237a031fd682307fe4a5ed8e,additive_full_replay_provenance_v1,True,True,0.7032717345737631,0,full_trajectory_replay,successful_proposal_ledger_v1,27,36,0.75,1,694,1143,1133,2.4423878499136586,full_trajectory_replay,successful_proposal_ledger_v1,36,46,0.782608695652174,30.0,791.0,1072.0,1044.0,1.8377996551092637
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-a,closed,drawer-closed__possession-grasped__locus-cabinet-side,0,A,grasped,drawer-closed__possession-grasped__locus-cabinet-side__layout-a,transverse_low_support,cabinet_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,15b5bf940aa84a2b8f40c16f4a8d14b758e55679d13b81c672dd4fb10d9320e2,dfb6750c2fd64e820f2e8192f1dce9eee147c080433e011960a3d5a8ace87fce,additive_full_replay_provenance_v1,True,True,0.6575253644225936,0,full_trajectory_replay,successful_proposal_ledger_v1,9,36,0.25,1,694,1143,1133,2.425666408968735,full_trajectory_replay,successful_proposal_ledger_v1,18,46,0.391304347826087,0.0,438.0,1056.0,1043.0,1.8179298915144122
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-b,closed,drawer-closed__possession-grasped__locus-cabinet-side,1,B,grasped,drawer-closed__possession-grasped__locus-cabinet-side__layout-b,transverse_low_support,cabinet_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,c9a089e3ad8eb2e06abb8b23c1a9f8b82291fb2bf502247195f2929323dd1d8f,377d5cfa30ee95239c7f0444d913736675e4579408ace9c4c274b4e42992aa31,additive_full_replay_provenance_v1,True,True,0.673881924096855,0,full_trajectory_replay,successful_proposal_ledger_v1,27,36,0.75,3,382,1147,1133,2.3539989099862684,full_trajectory_replay,successful_proposal_ledger_v1,36,46,0.782608695652174,30.0,791.0,1072.0,1044.0,1.8253099479752404
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-demonstration-near__layout-a,closed,drawer-closed__possession-grasped__locus-drawer-side,0,A,grasped,drawer-closed__possession-grasped__locus-drawer-side__layout-a,demonstration_near,drawer_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,be846d551a230f7ca22bed4851680c8285a613855ee2ce445d460d7001ba0f2f,269b10719e00d5985dfe6f3e0d2c383df8b63182d031c554ae8ca531276610bd,additive_full_replay_provenance_v1,True,True,0.8803612484955843,0,full_trajectory_replay,successful_proposal_ledger_v1,9,36,0.25,1,694,1143,1133,2.317145035976609,full_trajectory_replay,successful_proposal_ledger_v1,18,46,0.391304347826087,0.0,438.0,1056.0,1043.0,1.7122256376871103
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-demonstration-near__layout-b,closed,drawer-closed__possession-grasped__locus-drawer-side,1,B,grasped,drawer-closed__possession-grasped__locus-drawer-side__layout-b,demonstration_near,drawer_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,d7b66cc3047dfd5889bc2d659c2767f554b6b1810b9548711715854a4609cb5c,e5de093903b9c5fd553716f604a86a944d38bc6bf60ece188411fe28634f5439,additive_full_replay_provenance_v1,True,True,0.8790971324435464,0,full_trajectory_replay,successful_proposal_ledger_v1,27,36,0.75,1,694,1143,1133,2.308844539986518,full_trajectory_replay,successful_proposal_ledger_v1,34,46,0.7391304347826086,30.0,791.0,1072.0,1044.0,1.7047941507278244
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-transverse-low-support__layout-a,closed,drawer-closed__possession-grasped__locus-drawer-side,0,A,grasped,drawer-closed__possession-grasped__locus-drawer-side__layout-a,transverse_low_support,drawer_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,fe60f1d974dc339695a1d0ac9484980b89c1eb9872ae6873735df90480232b98,9da2e559a5989e1ab483f01d1333c19638304a4b413261e5a4ad0b209475177b,additive_full_replay_provenance_v1,True,True,0.833564615594618,0,full_trajectory_replay,successful_proposal_ledger_v1,11,36,0.3055555555555556,1,694,1143,1133,2.2664054030831347,full_trajectory_replay,successful_proposal_ledger_v1,17,46,0.3695652173913043,0.0,438.0,1056.0,1044.0,1.6698143015328277
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-transverse-low-support__layout-b,closed,drawer-closed__possession-grasped__locus-drawer-side,1,B,grasped,drawer-closed__possession-grasped__locus-drawer-side__layout-b,transverse_low_support,drawer_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,3a5a5c6b653d97903f19a743a82748777ee6535d3143d29294c50764a566ecc6,33e65f3b3d1503cf3eef871f372fe47377adbf8477f899bee3689418bda81f2b,additive_full_replay_provenance_v1,True,True,0.8299744670241251,0,full_trajectory_replay,successful_proposal_ledger_v1,26,36,0.7222222222222222,1,694,1143,1133,2.2610044079012463,full_trajectory_replay,successful_proposal_ledger_v1,34,46,0.7391304347826086,30.0,791.0,1072.0,1044.0,1.6567489079455657
stagea__drawer-closed__possession-on-table__locus-cabinet-side__support-demonstration-near__layout-a,closed,drawer-closed__possession-on-table__locus-cabinet-side,0,A,on_table,drawer-closed__possession-on-table__locus-cabinet-side__layout-a,demonstration_near,cabinet_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,21f37e264309b97055f6d1a5407ceb1041acf03d300e45149441cc543a6d4fa6,e348e47c69f2a58d8e84d7263ccdf9310a6443651efcddbd055e278269fdb558,additive_full_replay_provenance_v1,True,True,0.6705480163217475,4,full_trajectory_replay,successful_proposal_ledger_v1,14,36,0.3888888888888889,1,694,373,363,1.6811642274352026,full_trajectory_replay,successful_proposal_ledger_v1,23,46,0.5,0.0,438.0,286.0,274.0,1.0957179411461098
stagea__drawer-closed__possession-on-table__locus-cabinet-side__support-demonstration-near__layout-b,closed,drawer-closed__possession-on-table__locus-cabinet-side,1,B,on_table,drawer-closed__possession-on-table__locus-cabinet-side__layout-b,demonstration_near,cabinet_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,1139f78c8c2cb6dd8e4338883c952dc609266856ab32c82f7d81467c6204923f,c4ecd4da7115ef9559b81c106ca607f06424fbdcd46c6779d69374dd332f5aa9,additive_full_replay_provenance_v1,True,True,0.6822299038131452,4,full_trajectory_replay,successful_proposal_ledger_v1,28,36,0.7777777777777778,1,694,373,363,1.6965388368055374,full_trajectory_replay,successful_proposal_ledger_v1,36,46,0.782608695652174,30.0,791.0,302.0,277.0,1.089666302369215
stagea__drawer-closed__possession-on-table__locus-cabinet-side__support-transverse-low-support__layout-a,closed,drawer-closed__possession-on-table__locus-cabinet-side,0,A,on_table,drawer-closed__possession-on-table__locus-cabinet-side__layout-a,transverse_low_support,cabinet_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,a6ba056506f472b935a7c0837ac02f81e9c18de8f61d0876e012533b05dcd46f,6ac4893fe025eee496154ff2643274fc33e173f1fbafd7440f46dedf21c4ef7a,additive_full_replay_provenance_v1,True,True,0.6724920358850105,4,full_trajectory_replay,successful_proposal_ledger_v1,14,36,0.3888888888888889,1,694,373,362,1.6183701023282546,full_trajectory_replay,successful_proposal_ledger_v1,24,46,0.5217391304347826,0.0,438.0,286.0,273.0,1.0515615470786865
stagea__drawer-closed__possession-on-table__locus-cabinet-side__support-transverse-low-support__layout-b,closed,drawer-closed__possession-on-table__locus-cabinet-side,1,B,on_table,drawer-closed__possession-on-table__locus-cabinet-side__layout-b,transverse_low_support,cabinet_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,30b12bd9d3e6171e5a9c651e77b96283d9f69ccc2c5d1e799805ce1d9b6e283d,6836f658a07359ba58926138629d820b72ff2a54d4a77f111727c31fc7b6de95,additive_full_replay_provenance_v1,True,True,0.6825263663563267,4,full_trajectory_replay,successful_proposal_ledger_v1,28,36,0.7777777777777778,1,694,373,363,1.6631076764876611,full_trajectory_replay,successful_proposal_ledger_v1,39,46,0.8478260869565217,30.0,791.0,302.0,276.0,1.0613088328489324
stagea__drawer-closed__possession-on-table__locus-drawer-side__support-demonstration-near__layout-a,closed,drawer-closed__possession-on-table__locus-drawer-side,0,A,on_table,drawer-closed__possession-on-table__locus-drawer-side__layout-a,demonstration_near,drawer_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,dd298ef55c4faf11e78a96218e22d220d136d3ad568efaf6faa6d8bd5f9e16e3,6e04a992e6eeb9868a6a904d91cbe1029c41de0e3a129366f5a7b6b29848ec4b,additive_full_replay_provenance_v1,True,True,0.35298881697823176,6,full_trajectory_replay,successful_proposal_ledger_v1,14,36,0.3888888888888889,3,382,377,366,1.5712038707030018,full_trajectory_replay,successful_proposal_ledger_v1,24,46,0.5217391304347826,0.0,438.0,286.0,274.0,1.0361593829465745
stagea__drawer-closed__possession-on-table__locus-drawer-side__support-demonstration-near__layout-b,closed,drawer-closed__possession-on-table__locus-drawer-side,1,B,on_table,drawer-closed__possession-on-table__locus-drawer-side__layout-b,demonstration_near,drawer_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,2c5162d64e6081b79e9d7a185e4afb33c48fcd02974d53aacf6acd3034f375d9,8ab3f8f14a3f7055497ff37c27cd6e2138a2ca604566525343d78126c422a50e,additive_full_replay_provenance_v1,True,True,0.3274000273606816,6,full_trajectory_replay,successful_proposal_ledger_v1,26,36,0.7222222222222222,1,694,373,363,1.6404392613442549,full_trajectory_replay,successful_proposal_ledger_v1,38,46,0.8260869565217391,30.0,791.0,302.0,276.0,1.027776573956668
stagea__drawer-closed__possession-on-table__locus-drawer-side__support-transverse-low-support__layout-a,closed,drawer-closed__possession-on-table__locus-drawer-side,0,A,on_table,drawer-closed__possession-on-table__locus-drawer-side__layout-a,transverse_low_support,drawer_side,v32_closed,phase3b_stage_a_20260729T035043Z,phase3b-stage-a-v32,540,5380133a8d7948bd0c825a92d3527bb007b4da4609b6f1ff3f0a92a5a6da1e92,948a90e4fc07342d53de79325576d7ef82691341926e2845878902eae8aff4c7,additive_full_replay_provenance_v1,True,True,0.3540655627848104,6,full_trajectory_replay,successful_proposal_ledger_v1,13,36,0.3611111111111111,1,694,373,363,1.610782328550533,full_trajectory_replay,successful_proposal_ledger_v1,23,46,0.5,0.0,438.0,286.0,272.0,1.0011983680545806
