candidate_id,source_id,goal,feasibility_kind,physical_feasible,feasibility_policy_loaded,normalized_state_sha256,normalization_action_sha256,factorized_placement_action_count,factorized_result_file_sha256,proposal_attempt_count,proposal_success_count,selected_proposal_count,wrong_goal_count,unexpected_terminal_count,bridge_evidence_count,bridge_pass_count,proposal_execution_mode,drawer_aperture,possession,transit_locus,support_stratum,layout,state_sha256,proposal_compatible,competence_compatibility_gap
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-a,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,140253d432b553e5f9ba15fc4be2dff5452fe162ea107d6ea10ece87e92ba011,a1b61b511596af3acfce68ba6c01c414b9962cb2314855f244bdd4a73b03f9e2,,,46,16,1,0,0,0,0,full_trajectory_replay,closed,grasped,cabinet_side,demonstration_near,A,c5b665ed40254be3f5605b2944d88e3555a126a1afafdc864116b6b3cbaf133a,True,False
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-a,v32_closed,drawer,successful_proposal_ledger_v1,True,False,140253d432b553e5f9ba15fc4be2dff5452fe162ea107d6ea10ece87e92ba011,a1b61b511596af3acfce68ba6c01c414b9962cb2314855f244bdd4a73b03f9e2,,,36,11,1,1,0,0,0,full_trajectory_replay,closed,grasped,cabinet_side,demonstration_near,A,c5b665ed40254be3f5605b2944d88e3555a126a1afafdc864116b6b3cbaf133a,True,False
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-b,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,d84e070703ee46590c6cd30615bd3414aea9793b12bd6bd18ad8500e97d40e15,a2e4a8a5031ce94ed938889f0469a59d04f260dd0a62c29265d0d109c5ef4b57,,,46,36,1,0,0,0,0,full_trajectory_replay,closed,grasped,cabinet_side,demonstration_near,B,711cf24d99b20595790aa1dc25bfe972af4a5e4a237a031fd682307fe4a5ed8e,True,False
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-demonstration-near__layout-b,v32_closed,drawer,successful_proposal_ledger_v1,True,False,d84e070703ee46590c6cd30615bd3414aea9793b12bd6bd18ad8500e97d40e15,a2e4a8a5031ce94ed938889f0469a59d04f260dd0a62c29265d0d109c5ef4b57,,,36,27,1,0,0,0,0,full_trajectory_replay,closed,grasped,cabinet_side,demonstration_near,B,711cf24d99b20595790aa1dc25bfe972af4a5e4a237a031fd682307fe4a5ed8e,True,False
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-a,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,d6a50bea413ce9186f7c005305febc4d23bd16dc2c75b990156c3a85a20f9df6,07790fa312f781f8a4b3933e3bc011f710ed9e6807dca868327f11d1d9d076b7,,,46,18,1,0,0,0,0,full_trajectory_replay,closed,grasped,cabinet_side,transverse_low_support,A,dfb6750c2fd64e820f2e8192f1dce9eee147c080433e011960a3d5a8ace87fce,True,False
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-a,v32_closed,drawer,successful_proposal_ledger_v1,True,False,d6a50bea413ce9186f7c005305febc4d23bd16dc2c75b990156c3a85a20f9df6,07790fa312f781f8a4b3933e3bc011f710ed9e6807dca868327f11d1d9d076b7,,,36,9,1,1,0,0,0,full_trajectory_replay,closed,grasped,cabinet_side,transverse_low_support,A,dfb6750c2fd64e820f2e8192f1dce9eee147c080433e011960a3d5a8ace87fce,True,False
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-b,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,0a6d27a71f09160eecf20a5fa30fbfa04cf1c4de011e4f20dce059f0f95143c5,1dec49c1086bf29e9d67098433126c6b7fa3c6d0921b363f6fe76f87fa97aa24,,,46,36,1,0,0,0,0,full_trajectory_replay,closed,grasped,cabinet_side,transverse_low_support,B,377d5cfa30ee95239c7f0444d913736675e4579408ace9c4c274b4e42992aa31,True,False
stagea__drawer-closed__possession-grasped__locus-cabinet-side__support-transverse-low-support__layout-b,v32_closed,drawer,successful_proposal_ledger_v1,True,False,0a6d27a71f09160eecf20a5fa30fbfa04cf1c4de011e4f20dce059f0f95143c5,1dec49c1086bf29e9d67098433126c6b7fa3c6d0921b363f6fe76f87fa97aa24,,,36,27,1,0,0,0,0,full_trajectory_replay,closed,grasped,cabinet_side,transverse_low_support,B,377d5cfa30ee95239c7f0444d913736675e4579408ace9c4c274b4e42992aa31,True,False
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-demonstration-near__layout-a,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,486e2ca4da25ae62929688ac83a75ca7e1672b46cca10281004473640e150969,23dc2c666d7a3dbdaee01ba242ca0f38caa51fb366a1f07109dff33c2fff9bc4,,,46,18,1,0,0,0,0,full_trajectory_replay,closed,grasped,drawer_side,demonstration_near,A,269b10719e00d5985dfe6f3e0d2c383df8b63182d031c554ae8ca531276610bd,True,False
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-demonstration-near__layout-a,v32_closed,drawer,successful_proposal_ledger_v1,True,False,486e2ca4da25ae62929688ac83a75ca7e1672b46cca10281004473640e150969,23dc2c666d7a3dbdaee01ba242ca0f38caa51fb366a1f07109dff33c2fff9bc4,,,36,9,1,1,0,0,0,full_trajectory_replay,closed,grasped,drawer_side,demonstration_near,A,269b10719e00d5985dfe6f3e0d2c383df8b63182d031c554ae8ca531276610bd,True,False
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-demonstration-near__layout-b,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,5142bb64069e94b806f624684d2767c263ee91e19fb5ea6230ec5d313b304ed2,195c592f88a1ea659f176878def9d5751b2c546b182a37d5975c522545df5be6,,,46,34,1,0,0,0,0,full_trajectory_replay,closed,grasped,drawer_side,demonstration_near,B,e5de093903b9c5fd553716f604a86a944d38bc6bf60ece188411fe28634f5439,True,False
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-demonstration-near__layout-b,v32_closed,drawer,successful_proposal_ledger_v1,True,False,5142bb64069e94b806f624684d2767c263ee91e19fb5ea6230ec5d313b304ed2,195c592f88a1ea659f176878def9d5751b2c546b182a37d5975c522545df5be6,,,36,27,1,0,0,0,0,full_trajectory_replay,closed,grasped,drawer_side,demonstration_near,B,e5de093903b9c5fd553716f604a86a944d38bc6bf60ece188411fe28634f5439,True,False
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-transverse-low-support__layout-a,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,e40029af1844e8c9ddbfc138429c04cd4ee0a9b99e338951308c73f15db3df0f,9365dae97d599580feb5f25c318f8afd7eb7e170d509383efc182483bddfde88,,,46,17,1,0,0,0,0,full_trajectory_replay,closed,grasped,drawer_side,transverse_low_support,A,9da2e559a5989e1ab483f01d1333c19638304a4b413261e5a4ad0b209475177b,True,False
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-transverse-low-support__layout-a,v32_closed,drawer,successful_proposal_ledger_v1,True,False,e40029af1844e8c9ddbfc138429c04cd4ee0a9b99e338951308c73f15db3df0f,9365dae97d599580feb5f25c318f8afd7eb7e170d509383efc182483bddfde88,,,36,11,1,1,0,0,0,full_trajectory_replay,closed,grasped,drawer_side,transverse_low_support,A,9da2e559a5989e1ab483f01d1333c19638304a4b413261e5a4ad0b209475177b,True,False
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-transverse-low-support__layout-b,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,cc3b08ac59b899cd1822cfdc0f50ce570272463904563880d9cceef44cffb869,2224ca63a445e4996e535e034bc05a395ed88c9658f070e38a93ca5644b24f9d,,,46,34,1,0,0,0,0,full_trajectory_replay,closed,grasped,drawer_side,transverse_low_support,B,33e65f3b3d1503cf3eef871f372fe47377adbf8477f899bee3689418bda81f2b,True,False
stagea__drawer-closed__possession-grasped__locus-drawer-side__support-transverse-low-support__layout-b,v32_closed,drawer,successful_proposal_ledger_v1,True,False,cc3b08ac59b899cd1822cfdc0f50ce570272463904563880d9cceef44cffb869,2224ca63a445e4996e535e034bc05a395ed88c9658f070e38a93ca5644b24f9d,,,36,26,1,0,0,0,0,full_trajectory_replay,closed,grasped,drawer_side,transverse_low_support,B,33e65f3b3d1503cf3eef871f372fe47377adbf8477f899bee3689418bda81f2b,True,False
stagea__drawer-closed__possession-on-table__locus-cabinet-side__support-demonstration-near__layout-a,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,0333f62ed4b27dc89482df801460d8e36870e698778c5d3389f811b5b214cf8f,e2b9c35b0bd063b25809a9db5e92d227566f2b4b95548de9959401d445242975,,,46,23,1,0,0,0,0,full_trajectory_replay,closed,on_table,cabinet_side,demonstration_near,A,e348e47c69f2a58d8e84d7263ccdf9310a6443651efcddbd055e278269fdb558,True,False
stagea__drawer-closed__possession-on-table__locus-cabinet-side__support-demonstration-near__layout-a,v32_closed,drawer,successful_proposal_ledger_v1,True,False,0333f62ed4b27dc89482df801460d8e36870e698778c5d3389f811b5b214cf8f,e2b9c35b0bd063b25809a9db5e92d227566f2b4b95548de9959401d445242975,,,36,14,1,0,0,0,0,full_trajectory_replay,closed,on_table,cabinet_side,demonstration_near,A,e348e47c69f2a58d8e84d7263ccdf9310a6443651efcddbd055e278269fdb558,True,False
stagea__drawer-closed__possession-on-table__locus-cabinet-side__support-demonstration-near__layout-b,v32_closed,cabinet,successful_proposal_ledger_v1,True,False,1d0671d15c8853f57bdb8412e7609dda59c8baacf0f66b211906d166e9870acb,3c4ea0a0fe89f53688c517a86a0e6f9e3731822a2f48b5ea0c84fee05f64859e,,,46,36,1,0,0,0,0,full_trajectory_replay,closed,on_table,cabinet_side,demonstration_near,B,c4ecd4da7115ef9559b81c106ca607f06424fbdcd46c6779d69374dd332f5aa9,True,False
